Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Possibly Extinct,Regionally Extinct,Reintroduced,Introduced,Vagrant,Present origin uncertain
"Rufous-headed Hornbill, Walden's Hornbill, Writhed-billed Hornbill",CR,100600966,Aceros waldeni,AVES,increasing,Philippines: 12.87972 121.77402 ,,,,,,
Addax,CR,512,Addax nasomaculatus,MAMMALIA,decreasing,"Chad: 15.45417 18.73221, Mauritania: 21.00789 -10.94083, Niger: 17.60779 8.08167 ",,"Algeria: 28.03389 1.65963, Egypt: 26.82055 30.80250, Libya: 26.33510 17.22833, Sudan: 12.86281 30.21764, Western Sahara: 24.21553 -12.88583 ","Morocco: 31.79170 -7.09262, Tunisia: 33.88692 9.53750 ",,,
Talaud Bear Cuscus,CR,136218,Ailurops melanotis,MAMMALIA,decreasing,Indonesia: -0.78927 113.92133 ,,,,,,
"Puerto Rican Amazon, Puerto Rican Parrot, Red-fronted Amazon",CR,106001666,Amazona vittata,AVES,stable,Puerto Rico: 18.22083 -66.59015 ,,,,,,
Lake Lerma Salamander,CR,1093,Ambystoma lermaense,AMPHIBIA,decreasing,Too many markers for Mexico ,,,,,,
"Laysan Duck, Laysan Teal ",CR,100600437,Anas laysanensis,AVES,increasing,"United States: 37.09024 -95.71289, United States: 37.09024 -95.71289 ",,,,,,
Glaucous Macaw ,CR,106001545,Anodorhynchus glaucus,AVES,unknown,"Argentina: -38.41610 -63.61667, Brazil: -14.23500 -51.92528, Paraguay: -23.44250 -58.44383, Uruguay: -32.52278 -55.76584 ",,,,,,
Sulu Hornbill ,CR,100600950,Anthracoceros montani,AVES,decreasing,Philippines: 12.87972 121.77402 ,,,,,,
Pohnpei Starling ,CR,106006734,Aplonis pelzelni,AVES,decreasing,Micronesia: 6.88746 158.21507 ,,,,,,
Bulmer's Fruit Bat ,CR,1933,Aproteles bulmerae,MAMMALIA,decreasing,Papua New Guinea: -6.31499 143.95555 ,,,,,,
Blue-throated Macaw ,CR,106001548,Ara glaucogularis,AVES,stable,Bolivia: -16.29015 -63.58865 ,,,,,,
"Imperial Heron, White-bellied Heron ",CR,106003723,Ardea insignis,AVES,decreasing,"Bhutan: 27.51416 90.43360, India: 20.59368 78.96288, Burma: 21.91397 95.95622 ",Bangladesh: 23.68499 90.35633 ,Nepal: 28.39486 84.12401 ,,,,
"Great Indian Bustard, Indian Bustard ",CR,106002767,Ardeotis nigriceps,AVES,decreasing,"India: 20.59368 78.96288, Pakistan: 30.37532 69.34512 ",,,,,,
Radiated Tortoise ,CR,9014,Astrochelys radiata,REPTILIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
"Black-headed Spider Monkey, Brown-headed Spider Monkey ",CR,135446,Ateles fusciceps,MAMMALIA,decreasing,"Colombia: 4.57087 -74.29733, Ecuador: -1.83124 -78.18341, Panama: 8.53798 -80.78213 ",,,,,,
"Brown Spider Monkey, Variegated Spider Monkey ",CR,39961,Ateles hybridus,MAMMALIA,decreasing,"Colombia: 4.57087 -74.29733, Venezuela: 6.42375 -66.58973 ",,,,,,
Rancho Grande Harlequin Frog ,CR,54502,Atelopus cruciger,AMPHIBIA,decreasing,Venezuela: 6.42375 -66.58973 ,,,,,,
,CR,54549,Atelopus senex,AMPHIBIA,decreasing,,Costa Rica: 9.74892 -83.75343 ,,,,,
Harlequin Frog ,CR,54560,Atelopus varius,AMPHIBIA,decreasing,"Costa Rica: 9.74892 -83.75343, Panama: 8.53798 -80.78213 ",,,,,,
"Golden Arrow Poison Frog, Golden Frog, Panamanian Golden Frog, Zetek's Golden Frog ",CR,54563,Atelopus zeteki,AMPHIBIA,decreasing,Panama: 8.53798 -80.78213 ,,,,,,
"Bawean Deer, Bawean Hog Deer, Kuhl's Hog Deer ",CR,2447,Axis kuhlii,MAMMALIA,stable,Indonesia: -0.78927 113.92133 ,,,,,,
"Hirola, Hunter's Antelope ",CR,6234,Beatragus hunteri,MAMMALIA,decreasing,"Kenya: -0.02356 37.90619, Somalia: 5.15215 46.19962 ",,,,,,
Namdapha Flying Squirrel ,CR,2816,Biswamoyopterus biswasi,MAMMALIA,decreasing,India: 20.59368 78.96288 ,,,,,,
"Grey Ox, Kouprey ",CR,2890,Bos sauveli,MAMMALIA,unknown,,"Cambodia: 12.56568 104.99096, Laos: 19.85627 102.49550, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,
"Dwarf Olive Ibis, Sao Tome Ibis ",CR,106003789,Bostrychia bocagei,AVES,decreasing,Name not unicode cant write ,,,,,,
Northern Muriqui ,CR,2994,Brachyteles hypoxanthus,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528 ,,,,,,
Pygmy Three-toed Sloth ,CR,61925,Bradypus pygmaeus,MAMMALIA,decreasing,Panama: 8.53798 -80.78213 ,,,,,,
"Mindoro Dwarf Buffalo, Tamaraw, Tamarou ",CR,3127,Bubalus mindorensis,MAMMALIA,decreasing,Philippines: 12.87972 121.77402 ,,,,,,
"Bushman Hare, Riverine Rabbit ",CR,3326,Bunolagus monticularis,MAMMALIA,decreasing,South Africa: -30.55948 22.93751 ,,,,,,
"Hispaniolan Hawk, Ridgway's Hawk ",CR,106003501,Buteo ridgwayi,AVES,decreasing,Dominican Republic: 18.73569 -70.16265 ,,Haiti: 18.97119 -72.28521 ,,,,
"Philippine Cockatoo, Red-vented Cockatoo ",CR,106001403,Cacatua haematuropygia,AVES,decreasing,Philippines: 12.87972 121.77402 ,,,,,,
"Lesser Sulphur-crested Cockatoo, Yellow-crested Cockatoo ",CR,106001398,Cacatua sulphurea,AVES,decreasing,"Indonesia: -0.78927 113.92133, Timor-Leste: -8.87422 125.72754 ",,,,Singapore: 1.35208 103.81984 ,,
Common name not unicode ,CR,14699281,Callicebus caquetensis,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733 ,,,,,,
"Andean Titi Monkey, Rio Mayo Titi, Rio Mayo Titi Monkey, San Martin Titi Monkey ",CR,3553,Callicebus oenanthe,MAMMALIA,decreasing,Peru: -9.18997 -75.01515 ,,,,,,
Bizarre-nosed Chameleon ,CR,172796,Calumma hafahafa,REPTILIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
"Bactrian Camel, Wild Bactrian Camel ",CR,63543,Camelus ferus,MAMMALIA,decreasing,"China: 35.86166 104.19540, Mongolia: 46.86250 103.84666 ",,Kazakhstan: 48.01957 66.92368 ,,,,
Imperial Woodpecker ,CR,100600718,Campephilus imperialis,AVES,unknown,,Too many markers for Mexico ,,,,,
Red Wolf ,CR,3747,Canis rufus,MAMMALIA,increasing,,,,United States: 37.09024 -95.71289 ,,,
"Sumatran Ground-cuckoo, Sumatran Ground Cuckoo ",CR,106009787,Carpococcyx viridis,AVES,decreasing,Indonesia: -0.78927 113.92133 ,,,,,,
,CR,136520,Cavia intermedia,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528 ,,,,,,
"Blonde Capuchin, Marcgrave's Capuchin Monkey ",CR,136253,Cebus flavius,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528 ,,,,,,
"Common name not unicode, Ka'Apor Capuchin ",CR,40019,Cebus kaapori,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528 ,,,,,,
"Buff-headed Capuchin, Yellow-breasted Capuchin ",CR,4074,Cebus xanthosternos,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528 ,,,,,,
Aders' Duiker ,CR,4137,Cephalophus adersi,MAMMALIA,decreasing,"Kenya: -0.02356 37.90619, Tanzania: -6.36903 34.88882 ",,,,,,
"Dryad Monkey, Dryas Guenon, Dryas Monkey, Salonga Guenon ",CR,4216,Cercopithecus dryas,MAMMALIA,unknown,Democratic Republic of the Congo: -4.03833 21.75866 ,,,,,,
Short-tailed Chinchilla ,CR,4651,Chinchilla chinchilla,MAMMALIA,decreasing,"Argentina: -38.41610 -63.61667, Chile: -35.67515 -71.54297 ",,Peru: -9.18997 -75.01515 ,,,,
"Chinchilla, Long-tailed Chinchilla ",CR,4652,Chinchilla lanigera,MAMMALIA,decreasing,Chile: -35.67515 -71.54297 ,,,,,,
"Bearded Saki, Black Bearded Saki, Black Saki, Brown-bearded Saki ",CR,39956,Chiropotes satanas,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528 ,,,,,,
Cuban Kite ,CR,160030037,Chondrohierax wilsonii,AVES,decreasing,Cuba: 21.52176 -77.78117 ,,,,,,
"Purple-barred Ground-dove, Purple-winged Ground-dove, Purple-winged Ground Dove, Purple-winged Ground-Dove ",CR,106002571,Claravis geoffroyi,AVES,decreasing,"Argentina: -38.41610 -63.61667, Brazil: -14.23500 -51.92528, Paraguay: -23.44250 -58.44383 ",,,,,,
"Grey Wood-pigeon, Silvery Pigeon, Silvery Wood-pigeon, Silvery Wood-Pigeon ",CR,106002467,Columba argentina,AVES,decreasing,"Indonesia: -0.78927 113.92133, Malaysia: 4.21048 101.97577 ",,,,,,
,CR,168141,Conturbatia crenata,GASTROPODA,unknown,,Seychelles: -4.67957 55.49198 ,,,,,
"Reunion Cuckooshrike, Common name not unicode, Common name not unicode ",CR,106005929,Coracina newtoni,AVES,decreasing,Name not unicode cant write ,,,,,,
"Guam Crow, Mariana Crow ",CR,106005766,Corvus kubaryi,AVES,decreasing,"Guam: 13.44430 144.79373, Northern Mariana Islands: 15.09790 145.67390 ",,,,,,
Banggai Crow ,CR,106005764,Corvus unicolor,AVES,decreasing,Indonesia: -0.78927 113.92133 ,,,,,,
"Blue-billed Curassow, Blue-knobbed Curassow ",CR,100600104,Crax alberti,AVES,decreasing,Colombia: 4.57087 -74.29733 ,,,,,,
Cuban Crocodile ,CR,5670,Crocodylus rhombifer,REPTILIA,no population data,Cuba: 21.52176 -77.78117 ,,,,,,
Siamese Crocodile ,CR,5671,Crocodylus siamensis,REPTILIA,decreasing,"Cambodia: 12.56568 104.99096, Indonesia: -0.78927 113.92133, Laos: 19.85627 102.49550, Thailand: 15.87003 100.99254 ",,,Vietnam: 14.05832 108.27720 ,,,
Santa Catalina Island Rattlesnake ,CR,64314,Crotalus catalinensis,REPTILIA,decreasing,Too many markers for Mexico ,,,,,,
Social Tuco-tuco ,CR,5826,Ctenomys sociabilis,MAMMALIA,decreasing,Argentina: -38.41610 -63.61667 ,,,,,,
"Baker's Spinytail Iguana, Swamper, Utila Spiny-tailed Iguana ",CR,44181,Ctenosaura bakeri,REPTILIA,decreasing,Honduras: 15.20000 -86.24191 ,,,,,,
Yunnan Box Turtle ,CR,5957,Cuora yunnanensis,REPTILIA,decreasing,China: 35.86166 104.19540 ,,,,,,
"Little Blue Macaw, Spix's Macaw ",CR,106001546,Cyanopsitta spixii,AVES,unknown,,Brazil: -14.23500 -51.92528 ,,,,,
Mexican Agouti ,CR,6285,Dasyprocta mexicana,MAMMALIA,decreasing,Too many markers for Mexico ,,,,Cuba: 21.52176 -77.78117 ,,
Wondiwoi Tree-kangaroo ,CR,136668,Dendrolagus mayri,MAMMALIA,unknown,,Indonesia: -0.78927 113.92133 ,,,,,
