Country,Native,Possibly Extinct,Regionally Extinct,Reintroduced,Introduced,Vagrant,Present origin uncertain
Afghanistan: 33.93911 67.70995,8,1,2,0,0,1,1
Albania: 41.15333 20.16833,3,0,0,0,0,2,1
Algeria: 28.03389 1.65963,10,0,1,0,0,1,0
American Samoa: -14.30594 -170.69620,0,0,0,0,0,0,2
Andorra: 42.50628 1.52180,1,0,0,0,0,0,0
Angola: -11.20269 17.87389,15,0,0,0,0,1,0
Anguilla: 18.22055 -63.06862,1,0,0,0,0,0,2
Antarctica: -82.86275 -135.00000,0,0,0,0,0,2,1
Antigua and Barbuda: 17.06082 -61.79643,0,0,1,0,0,0,2
Argentina: -38.41610 -63.61667,25,2,0,0,0,0,0
Armenia: 40.06910 45.03819,6,0,1,0,0,0,0
Aruba: 12.52111 -69.96834,0,0,0,0,0,1,0
Australia: -25.27440 133.77514,7,0,0,0,1,4,0
Austria: 47.51623 14.55007,3,0,1,0,0,4,0
Azerbaijan: 40.14310 47.57693,7,0,1,0,0,1,0
Bahrain: 26.06670 50.55770,1,0,0,0,0,1,0
Bangladesh: 23.68499 90.35633,17,3,7,0,0,3,0
Barbados: 13.19389 -59.54320,0,0,1,0,0,1,0
Belarus: 53.70981 27.95339,1,0,2,0,0,2,0
Belgium: 50.50389 4.46994,1,0,0,0,0,5,0
Belize: 17.18988 -88.49765,6,0,0,0,0,0,0
Benin: 9.30769 2.31583,5,1,0,0,0,0,0
Bermuda: 32.30780 -64.75050,0,0,0,0,0,1,0
Bhutan: 27.51416 90.43360,15,1,1,0,0,0,0
Bolivia: -16.29015 -63.58865,19,0,0,0,0,0,0
Bonaire Sint Eustatius and Saba: 12.17836 -68.23853,0,0,0,0,0,1,1
Bosnia and Herzegovina: 43.91589 17.67908,2,0,0,0,0,4,1
Botswana: -22.32847 24.68487,5,0,0,1,0,2,0
Bouvet Island: -54.42320 3.41319,0,0,0,0,0,0,1
Brazil: -14.23500 -51.92528,53,2,0,0,0,0,0
British Indian Ocean Territory: -7.33476 72.42423,0,0,0,0,0,0,1
Brunei Darussalam: 4.53528 114.72767,8,0,2,0,0,2,0
Bulgaria: 42.73388 25.48583,7,0,1,0,0,1,0
Burkina Faso: 12.23833 -1.56159,5,1,0,0,0,0,0
Burma: 21.91397 95.95622,37,4,1,0,0,2,0
Burundi: -3.37306 29.91889,7,0,1,0,0,1,0
Cambodia: 12.56568 104.99096,31,1,2,0,0,0,0
Cameroon: 7.36972 12.35472,12,1,2,0,0,1,0
Canada: 56.13037 -106.34677,3,1,1,0,0,2,0
Cape Verde: 15.12173 -23.60508,1,0,0,0,0,2,0
Cayman Islands: 19.31330 -81.25460,1,0,0,0,0,1,1
Central African Republic: 6.61111 20.93944,8,1,0,0,0,0,0
Chad: 15.45417 18.73221,9,1,1,0,0,0,1
Chile: -35.67515 -71.54297,12,1,0,0,0,0,0
China: 35.86166 104.19540,72,3,4,0,0,2,0
Christmas Island: -10.44753 105.69045,2,0,0,0,0,0,1
Cocos Islands: -12.1167 96.9000,0,0,0,0,0,1,1
Colombia: 4.57087 -74.29733,36,0,0,0,0,1,0
Comoros: -11.64550 43.33330,3,0,0,0,0,1,0
Congo: -0.22802 15.82766,5,0,0,0,0,1,0
Cook Islands: -21.23674 -159.77767,0,0,0,0,0,0,2
Costa Rica: 9.74892 -83.75343,10,1,0,0,0,0,0
Côte d'Ivoire: 7.1317 -5.5230,11,1,0,0,0,0,0
Croatia: 45.10000 15.20000,5,0,1,0,0,0,2
Cuba: 21.52176 -77.78117,9,2,0,0,1,0,1
Curaçao: 12.1833 -69.0000,0,0,0,0,0,1,1
Cyprus: 35.12641 33.42986,3,0,0,0,0,3,0
Czech Republic: 49.81749 15.47296,2,0,1,0,0,2,1
Democratic Republic of the Congo: -4.03833 21.75866,13,1,1,0,0,2,0
Denmark: 56.26392 9.50178,1,0,0,0,0,6,0
Djibouti: 11.82514 42.59027,4,0,1,0,0,1,0
Dominica: 15.41500 -61.37098,3,0,0,0,0,0,1
Dominican Republic: 18.73569 -70.16265,5,0,0,0,0,0,1
Ecuador: -1.83124 -78.18341,16,3,1,0,0,0,1
Egypt: 26.82055 30.80250,3,0,2,0,0,6,1
El Salvador: 13.79419 -88.89653,3,0,1,0,0,0,0
Equatorial Guinea: 1.65080 10.26789,6,0,0,0,0,0,0
Eritrea: 15.17938 39.78233,7,1,1,0,0,0,0
Estonia: 58.59527 25.01361,1,0,1,0,0,1,0
Ethiopia: 9.14500 40.48967,13,3,1,0,0,0,0
