Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,
"Hog Deer, Indochinese Hog Deer, Thai Hog Deer",EN,41784,Axis porcinus,MAMMALIA,decreasing,Australia: -25.27440 133.77514
Mexican Agouti,CR,6285,Dasyprocta mexicana,MAMMALIA,decreasing,Cuba: 21.52176 -77.78117
"Barbary Ape, Barbary Macaque",EN,12561,Macaca sylvanus,MAMMALIA,decreasing,Gibraltar: 36.1430 -5.3530
Red Siskin,EN,106008818,Carduelis cucullata,AVES,decreasing,Puerto Rico: 18.22083 -66.59015
"Green-cheeked Amazon, Red-crowned Amazon, Red-crowned Parrot",EN,106001669,Amazona viridigenalis,AVES,decreasing,Puerto Rico: 18.22083 -66.59015
"Lesser Sulphur-crested Cockatoo, Yellow-crested Cockatoo",CR,106001398,Cacatua sulphurea,AVES,decreasing,Singapore: 1.35208 103.81984
Black-winged Starling,CR,106006821,Sturnus melanopterus,AVES,decreasing,Singapore: 1.35208 103.81984
"Hog Deer, Indochinese Hog Deer, Thai Hog Deer",EN,41784,Axis porcinus,MAMMALIA,decreasing,Sri Lanka: 7.87305 80.77180
"Hog Deer, Indochinese Hog Deer, Thai Hog Deer",EN,41784,Axis porcinus,MAMMALIA,decreasing,United States of America: 37.09024 -95.71289
"Green-cheeked Amazon, Red-crowned Amazon, Red-crowned Parrot",EN,59049,Ambystoma altamirani,AMPHIBIA,decreasing,United States of America: 37.09024 -95.71289
