Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Afghanistan: 33.93911 67.70995
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Afghanistan: 33.93911 67.70995
Markhor,EN,3787,Capra falconeri,MAMMALIA,decreasing,Afghanistan: 33.93911 67.70995
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Afghanistan: 33.93911 67.70995
"Kashmir Muskdeer, Kashmir Musk-deer",EN,136750,Moschus cupreus,MAMMALIA,decreasing,Afghanistan: 33.93911 67.70995
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Afghanistan: 33.93911 67.70995
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Afghanistan: 33.93911 67.70995
"Ounce, Snow Leopard",EN,22732,Panthera uncia,MAMMALIA,decreasing,Afghanistan: 33.93911 67.70995
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Albania: 41.15333 20.16833
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Albania: 41.15333 20.16833
Albanian Water Frog,EN,58715,Pelophylax shqipericus,AMPHIBIA,decreasing,Albania: 41.15333 20.16833
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Algeria: 28.03389 1.65963
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Algeria: 28.03389 1.65963
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Algeria: 28.03389 1.65963
"Banded Skink, Peters' Banded Skink",DD,178691,Scincopus fasciatus,REPTILIA,unknown,Algeria: 28.03389 1.65963
"Cuvier's Gazelle, Edmi",EN,8967,Gazella cuvieri,MAMMALIA,unknown,Algeria: 28.03389 1.65963
"Rhim, Slender-horned Gazelle",EN,8972,Gazella leptoceros,MAMMALIA,decreasing,Algeria: 28.03389 1.65963
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Algeria: 28.03389 1.65963
"Barbary Ape, Barbary Macaque",EN,12561,Macaca sylvanus,MAMMALIA,decreasing,Algeria: 28.03389 1.65963
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Algeria: 28.03389 1.65963
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Algeria: 28.03389 1.65963
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Andorra: 42.50628 1.52180
"Black Rhinoceros, Hook-lipped Rhinoceros",CR,6557,Diceros bicornis,MAMMALIA,increasing,Angola: -11.20269 17.87389
Tristan Albatross,CR,160030013,Diomedea dabbenena,AVES,decreasing,Angola: -11.20269 17.87389
"Lowland Gorilla, Western Gorilla",CR,9404,Gorilla gorilla,MAMMALIA,decreasing,Angola: -11.20269 17.87389
