Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Possibly Extinct
"Siberian Crane, Siberian White Crane, Snow Crane",CR,106002786,Leucogeranus leucogeranus,AVES,decreasing,Afghanistan: 33.93911 67.70995
Eskimo Curlew,CR,106003008,Numenius borealis,AVES,unknown,Argentina: -38.41610 -63.61667
Yellow Cardinal,EN,106009078,Gubernatrix cristata,AVES,decreasing,Argentina: -38.41610 -63.61667
"Imperial Heron, White-bellied Heron",CR,106003723,Ardea insignis,AVES,decreasing,Bangladesh: 23.68499 90.35633
"Bengal Bustard, Bengal Florican",CR,106002782,Houbaropsis bengalensis,AVES,decreasing,Bangladesh: 23.68499 90.35633
Pink-headed Duck,CR,100600468,Rhodonessa caryophyllacea,AVES,unknown,Bangladesh: 23.68499 90.35633
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Benin: 9.30769 2.31583
"Indian Black Vulture, Pondicherry Vulture, Red-headed Vulture",CR,106003383,Sarcogyps calvus,AVES,decreasing,Bhutan: 27.51416 90.43360
"Little Blue Macaw, Spix's Macaw",CR,106001546,Cyanopsitta spixii,AVES,unknown,Brazil: -14.23500 -51.92528
Eskimo Curlew,CR,106003008,Numenius borealis,AVES,unknown,Brazil: -14.23500 -51.92528
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Burkina Faso: 12.23833 -1.56159
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,Burma: 21.91397 95.95622
"Black Ibis, White-shouldered Ibis",CR,106003799,Pseudibis davisoni,AVES,decreasing,Burma: 21.91397 95.95622
Pink-headed Duck,CR,100600468,Rhodonessa caryophyllacea,AVES,unknown,Burma: 21.91397 95.95622
Greater Adjutant,EN,106003842,Leptoptilos dubius,AVES,decreasing,Burma: 21.91397 95.95622
"Grey Ox, Kouprey",CR,2890,Bos sauveli,MAMMALIA,unknown,Cambodia: 12.56568 104.99096
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Cameroon: 7.36972 12.35472
Eskimo Curlew,CR,106003008,Numenius borealis,AVES,unknown,Canada: 56.13037 -106.34677
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Central African Republic: 6.61111 20.93944
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Chad: 15.45417 18.73221
Eskimo Curlew,CR,106003008,Numenius borealis,AVES,unknown,Chile: -35.67515 -71.54297
"Black Ibis, White-shouldered Ibis",CR,106003799,Pseudibis davisoni,AVES,decreasing,China: 35.86166 104.19540
"Northern White-cheeked Gibbon, White-cheeked Gibbon",CR,39895,Nomascus leucogenys,MAMMALIA,decreasing,China: 35.86166 104.19540
"Common Gibbon, Lar Gibbon, White-handed Gibbon",EN,10548,Hylobates lar,MAMMALIA,decreasing,China: 35.86166 104.19540
blank,CR,54549,Atelopus senex,AMPHIBIA,decreasing,Costa Rica: 9.74892 -83.75343
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Côte d'Ivoire: 7.1317 -5.5230
"Little Earth Hutia, San Felipe Hutia",CR,13218,Mesocapromys sanfelipensis,MAMMALIA,unknown,Cuba: 21.52176 -77.78117
Garrido's Hutia,CR,14254,Mysateles garridoi,MAMMALIA,unknown,Cuba: 21.52176 -77.78117
