Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Afghanistan: 33.93911 67.70995
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Albania: 41.15333 20.16833
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,American Samoa: -14.30594 -170.69620
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,American Samoa: -14.30594 -170.69620
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Anguilla: 18.22055 -63.06862
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Anguilla: 18.22055 -63.06862
Northern Royal Albatross,EN,160030005,Diomedea sanfordi,AVES,decreasing,Antarctica: -82.86275 -135.00000
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Antigua and Barbuda: 17.06082 -61.79643
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Antigua and Barbuda: 17.06082 -61.79643
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Bonaire Sint Eustatius and Saba: 12.17836 -68.23853
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Bosnia and Herzegovina: 43.91589 17.67908
Northern Royal Albatross,EN,160030005,Diomedea sanfordi,AVES,decreasing,Bouvet Island: -54.42320 3.41319
Barau's Petrel,EN,106003900,Pterodroma baraui,AVES,decreasing,British Indian Ocean Territory: -7.33476 72.42423
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Cayman Islands: 19.31330 -81.25460
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Chad: 15.45417 18.73221
Barau's Petrel,EN,106003900,Pterodroma baraui,AVES,decreasing,Christmas Island: -10.44753 105.69045
Barau's Petrel,EN,106003900,Pterodroma baraui,AVES,decreasing,Cocos Islands: -12.1167 96.9000
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,Cook Islands: -21.23674 -159.77767
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,Cook Islands: -21.23674 -159.77767
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Croatia: 45.10000 15.20000
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Croatia: 45.10000 15.20000
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Cuba: 21.52176 -77.78117
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Curaçao: 12.1833 -69.0000
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Czech Republic: 49.81749 15.47296
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Dominica: 15.41500 -61.37098
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Dominican Republic: 18.73569 -70.16265
"Peruvian Diving-petrel, Peruvian Diving Petrel, Peruvian Diving-Petrel",EN,106003948,Pelecanoides garnotii,AVES,decreasing,Ecuador: -1.83124 -78.18341
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Egypt: 26.82055 30.80250
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Faroe Islands: 61.89263 -6.91181
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,French Guiana: 3.93389 -53.12578
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Greece: 39.07421 21.82431
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Grenada: 12.11650 -61.67900
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Guadeloupe: 16.26500 -61.55100
"Nordmann's Greenshank,  Spotted Greenshank",EN,106003020,Tringa guttifer,AVES,decreasing,Guam: 13.44430 144.79373
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Guyana: 4.86042 -58.93018
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Haiti: 18.97119 -72.28521
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Honduras: 15.20000 -86.24191
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Honduras: 15.20000 -86.24191
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Japan: 36.20482 138.25292
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Kyrgyzstan: 41.20438 74.76610
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Libya: 26.33510 17.22833
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Libya: 26.33510 17.22833
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Macedonia (FYROM): 41.60863 21.74527
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Malta: 35.93750 14.37542
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Martinique: 14.64153 -61.02417
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Mexico: 19.0000 -99.0000
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Monaco: 43.7328 7.4197
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Montenegro: 42.70868 19.37439
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Montenegro: 42.70868 19.37439
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Montserrat: 16.74250 -62.18737
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Montserrat: 16.74250 -62.18737
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Nicaragua: 12.86542 -85.20723
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Niger: 17.60779 8.08167
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,Niue: -19.05445 -169.86723
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,Niue: -19.05445 -169.86723
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,Pitcairn Islands: -24.37649 -128.32437
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Puerto Rico: 18.22083 -66.59015
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Qatar: 25.35483 51.18388
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Saint Kitts and Nevis: 17.35782 -62.78300
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Saint Kitts and Nevis: 17.35782 -62.78300
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Saint Lucia: 13.90944 -60.97889
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Saint Martin: 18.08255 -63.05225
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Saint Martin: 18.08255 -63.05225
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Saint Vincent and the Grenadines: 13.25338 -61.19625
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,Samoa: -13.75903 -172.10463
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,Samoa: -13.75903 -172.10463
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Saudi Arabia: 23.88594 45.07916
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Serbia: 44.01652 21.00586
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Sint Maarten: 18.030 -63.0500
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Slovenia: 46.15124 14.99546
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,Solomon Islands: -9.64571 160.15619
Barau's Petrel,EN,106003900,Pterodroma baraui,AVES,decreasing,Sri Lanka: 7.87305 80.77180
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Suriname: 3.91931 -56.02778
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Syria: 34.80208 38.99681
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Tajikistan: 38.86103 71.27609
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,The Bahamas: 25.03428 -77.39628
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,Tokelau: -9.20020 -171.84840
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,Tokelau: -9.20020 -171.84840
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,Tonga: -21.17899 -175.19824
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Trinidad and Tobago: 10.69180 -61.22250
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Turkmenistan: 38.96972 59.55628
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Turks and Caicos Islands: 21.69402 -71.79793
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Turks and Caicos Islands: 21.69402 -71.79793
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,Tuvalu: -10.72807 179.47266
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,Tuvalu: -10.72807 179.47266
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,United States Minor Outlying Islands: 5.88062 -162.07592
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,United States Minor Outlying Islands: 5.88062 -162.07592
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,United States of America: 37.09024 -95.71289
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,United States of America: 37.09024 -95.71289
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,United States Virgin Islands: 18.33576 -64.89633
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Uzbekistan: 41.37749 64.58526
Jamaica Petrel,CR,106003912,Pterodroma caribbaea,AVES,unknown,Venezuela: 6.42375 -66.58973
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Venezuela: 6.42375 -66.58973
