Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Regionally Extinct
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Afghanistan: 33.93911 67.70995
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Afghanistan: 33.93911 67.70995
Addax,CR,512,Addax nasomaculatus,MAMMALIA,decreasing,Algeria: 28.03389 1.65963
"Lesser Antillean Green Iguana, West Indian Iguana",EN,10800,Iguana delicatissima,REPTILIA,decreasing,Antigua and Barbuda: 17.06082 -61.79643
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Armenia: 40.06910 45.03819
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Austria: 47.51623 14.55007
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Azerbaijan: 40.14310 47.57693
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Bangladesh: 23.68499 90.35633
Pygmy Hog,CR,21172,Porcula salvania,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
Javan Rhinoceros,CR,19495,Rhinoceros sondaicus,MAMMALIA,unknown,Bangladesh: 23.68499 90.35633
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
"Banteng, Tembadau",EN,2888,Bos javanicus,MAMMALIA,decreasing,Bangladesh: 23.68499 90.35633
"Green-necked Peafowl, Green Peafowl",EN,100600286,Pavo muticus,AVES,decreasing,Bangladesh: 23.68499 90.35633
Eskimo Curlew,CR,106003008,Numenius borealis,AVES,unknown,Barbados: 13.19389 -59.54320
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Belarus: 53.70981 27.95339
"Asian Wild Horse, Mongolian Wild Horse, Przewalski's Horse",EN,41763,Equus ferus,MAMMALIA,increasing,Belarus: 53.70981 27.95339
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,Bhutan: 27.51416 90.43360
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,Brunei Darussalam: 4.53528 114.72767
"Banteng, Tembadau",EN,2888,Bos javanicus,MAMMALIA,decreasing,Brunei Darussalam: 4.53528 114.72767
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Bulgaria: 42.73388 25.48583
Javan Rhinoceros,CR,19495,Rhinoceros sondaicus,MAMMALIA,unknown,Burma: 21.91397 95.95622
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Burundi: -3.37306 29.91889
Javan Rhinoceros,CR,19495,Rhinoceros sondaicus,MAMMALIA,unknown,Cambodia: 12.56568 104.99096
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,Cambodia: 12.56568 104.99096
"Black Rhinoceros, Hook-lipped Rhinoceros",CR,6557,Diceros bicornis,MAMMALIA,increasing,Cameroon: 7.36972 12.35472
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Cameroon: 7.36972 12.35472
Black-footed Ferret,EN,14020,Mustela nigripes,MAMMALIA,increasing,Canada: 56.13037 -106.34677
"Black Rhinoceros, Hook-lipped Rhinoceros",CR,6557,Diceros bicornis,MAMMALIA,increasing,Chad: 15.45417 18.73221
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,China: 35.86166 104.19540
"Mongolian Saiga, Saiga, Saiga Antelope",CR,19832,Saiga tatarica,MAMMALIA,decreasing,China: 35.86166 104.19540
Javan Rhinoceros,CR,19495,Rhinoceros sondaicus,MAMMALIA,unknown,China: 35.86166 104.19540
"Asian Wild Horse, Mongolian Wild Horse, Przewalski's Horse",EN,41763,Equus ferus,MAMMALIA,increasing,China: 35.86166 104.19540
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Croatia: 45.10000 15.20000
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Czech Republic: 49.81749 15.47296
"Lowland Gorilla, Western Gorilla",CR,9404,Gorilla gorilla,MAMMALIA,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
Grevy's Zebra,EN,7950,Equus grevyi,MAMMALIA,stable,Djibouti: 11.82514 42.59027
Wattled Curassow,EN,100600107,Crax globulosa,AVES,decreasing,Ecuador: -1.83124 -78.18341
Addax,CR,512,Addax nasomaculatus,MAMMALIA,decreasing,Egypt: 26.82055 30.80250
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Egypt: 26.82055 30.80250
"Baird's Tapir, Central American Tapir",EN,21471,Tapirus bairdii,MAMMALIA,decreasing,El Salvador: 13.79419 -88.89653
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Eritrea: 15.17938 39.78233
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Estonia: 58.59527 25.01361
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Ethiopia: 9.14500 40.48967
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Finland: 61.92411 25.74815
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Gabon: -0.80369 11.60944
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Georgia: 42.1902 43.2781
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Georgia: 42.1902 43.2781
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Germany: 51.16569 10.45153
"Asian Wild Horse, Mongolian Wild Horse, Przewalski's Horse",EN,41763,Equus ferus,MAMMALIA,increasing,Germany: 51.16569 10.45153
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Ghana: 7.94653 -1.02319
"Giant Ditch Frog, Mountain Chicken",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,Guadeloupe: 16.26500 -61.55100
"Marianas Scrubfowl, Micronesian Megapode, Micronesian Scrubfowl",EN,100600125,Megapodius laperouse,AVES,decreasing,Guam: 13.44430 144.79373
"Mariana Fruit-dove, Mariana Fruit Dove, Mariana Fruit-Dove",EN,106002678,Ptilinopus roseicapilla,AVES,decreasing,Guam: 13.44430 144.79373
"Hispaniolan Hawk, Ridgway's Hawk",CR,106003501,Buteo ridgwayi,AVES,decreasing,Haiti: 18.97119 -72.28521
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Hungary: 47.16249 19.50330
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Hungary: 47.16249 19.50330
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,India: 20.59368 78.96288
Javan Rhinoceros,CR,19495,Rhinoceros sondaicus,MAMMALIA,unknown,India: 20.59368 78.96288
"Green-necked Peafowl, Green Peafowl",EN,100600286,Pavo muticus,AVES,decreasing,India: 20.59368 78.96288
"Banteng, Tembadau",EN,2888,Bos javanicus,MAMMALIA,decreasing,India: 20.59368 78.96288
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Indonesia: -0.78927 113.92133
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Iran: 32.42791 53.68805
"Mesopotamian Fallow Deer, Persian Fallow Deer",EN,6232,Dama mesopotamica,MAMMALIA,increasing,Iraq: 33.22319 43.67929
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Iraq: 33.22319 43.67929
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Israel: 31.04605 34.85161
"Asian Crested Ibis, Crested Ibis, Japanese Crested Ibis",EN,106003801,Nipponia nippon,AVES,increasing,Japan: 36.20482 138.25292
"Mesopotamian Fallow Deer, Persian Fallow Deer",EN,6232,Dama mesopotamica,MAMMALIA,increasing,Jordan: 30.58516 36.23841
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Jordan: 30.58516 36.23841
"Bactrian Camel, Wild Bactrian Camel",CR,63543,Camelus ferus,MAMMALIA,decreasing,Kazakhstan: 48.01957 66.92368
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Kazakhstan: 48.01957 66.92368
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Kazakhstan: 48.01957 66.92368
