Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,
"Black Rhinoceros, Hook-lipped Rhinoceros",CR,6557,Diceros bicornis,MAMMALIA,increasing,Botswana: -22.32847 24.68487
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Israel: 31.04605 34.85161
"Mesopotamian Fallow Deer, Persian Fallow Deer",EN,6232,Dama mesopotamica,MAMMALIA,increasing,Israel: 31.04605 34.85161
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Kazakhstan: 48.01957 66.92368
"Black Rhinoceros, Hook-lipped Rhinoceros",CR,6557,Diceros bicornis,MAMMALIA,increasing,Malawi: -13.25431 34.30152
California Condor,CR,106003821,Gymnogyps californianus,AVES,increasing,Mexico: 19.0000 -99.0000
Black-footed Ferret,EN,14020,Mustela nigripes,MAMMALIA,increasing,Mexico: 19.0000 -99.0000
"Asian Wild Horse, Mongolian Wild Horse, Przewalski's Horse",EN,41763,Equus ferus,MAMMALIA,increasing,Mongolia: 46.86250 103.84666
Addax,CR,512,Addax nasomaculatus,MAMMALIA,decreasing,Morocco: 31.79170 -7.09262
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Saudi Arabia: 23.88594 45.07916
"Addra Gazelle, Dama Gazelle",CR,8968,Nanger dama,MAMMALIA,decreasing,Senegal: 14.49740 -14.45236
"Black Rhinoceros, Hook-lipped Rhinoceros",CR,6557,Diceros bicornis,MAMMALIA,increasing,Swaziland: -26.52250 31.46587
"Hog Deer, Indochinese Hog Deer, Thai Hog Deer",EN,41784,Axis porcinus,MAMMALIA,decreasing,Thailand: 15.87003 100.99254
Addax,CR,512,Addax nasomaculatus,MAMMALIA,decreasing,Tunisia: 33.88692 9.53750
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Turkey: 38.96375 35.24332
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Ukraine: 48.37943 31.16558
Red Wolf,CR,3747,Canis rufus,MAMMALIA,increasing,United States of America: 37.09024 -95.71289
California Condor,CR,106003821,Gymnogyps californianus,AVES,increasing,United States of America: 37.09024 -95.71289
Thick-billed Parrot,EN,106001584,Rhynchopsitta pachyrhyncha,AVES,decreasing,United States of America: 37.09024 -95.71289
Black-footed Ferret,EN,14020,Mustela nigripes,MAMMALIA,increasing,United States of America: 37.09024 -95.71289
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Uzbekistan: 41.37749 64.58526
Siamese Crocodile,CR,5671,Crocodylus siamensis,REPTILIA,decreasing,Vietnam: 14.05832 108.27720
"Black Rhinoceros, Hook-lipped Rhinoceros",CR,6557,Diceros bicornis,MAMMALIA,increasing,Zambia: -13.13390 27.84933
