Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Afghanistan: 33.93911 67.70995
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Albania: 41.15333 20.16833
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Albania: 41.15333 20.16833
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Algeria: 28.03389 1.65963
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Angola: -11.20269 17.87389
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,Antarctica: -82.86275 -135.00000
Atlantic Petrel,EN,106003909,Pterodroma incerta,AVES,decreasing,Antarctica: -82.86275 -135.00000
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Aruba: 12.52111 -69.96834
"Andrews' Frigatebird, Christmas Frigatebird, Christmas Island Frigatebird",CR,106003847,Fregata andrewsi,AVES,decreasing,Australia: -25.27440 133.77514
"Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross",EN,106003965,Thalassarche chlororhynchos,AVES,decreasing,Australia: -25.27440 133.77514
Abbott's Booby,EN,106003651,Papasula abbotti,AVES,decreasing,Australia: -25.27440 133.77514
Barau's Petrel,EN,106003900,Pterodroma baraui,AVES,decreasing,Australia: -25.27440 133.77514
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Austria: 47.51623 14.55007
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Austria: 47.51623 14.55007
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Austria: 47.51623 14.55007
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Austria: 47.51623 14.55007
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Azerbaijan: 40.14310 47.57693
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Bahrain: 26.06670 50.55770
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Bangladesh: 23.68499 90.35633
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Bangladesh: 23.68499 90.35633
"Japanese White Stork, Oriental Stork, Oriental White Stork",EN,106003836,Ciconia boyciana,AVES,decreasing,Bangladesh: 23.68499 90.35633
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Barbados: 13.19389 -59.54320
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Belarus: 53.70981 27.95339
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Belarus: 53.70981 27.95339
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Belgium: 50.50389 4.46994
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Belgium: 50.50389 4.46994
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Belgium: 50.50389 4.46994
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Belgium: 50.50389 4.46994
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Belgium: 50.50389 4.46994
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Bermuda: 32.30780 -64.75050
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Bonaire Sint Eustatius and Saba: 12.17836 -68.23853
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Bosnia and Herzegovina: 43.91589 17.67908
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Bosnia and Herzegovina: 43.91589 17.67908
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Bosnia and Herzegovina: 43.91589 17.67908
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Bosnia and Herzegovina: 43.91589 17.67908
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Botswana: -22.32847 24.68487
Ludwig's Bustard,EN,106002762,Neotis ludwigii,AVES,decreasing,Botswana: -22.32847 24.68487
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Brunei Darussalam: 4.53528 114.72767
"Japanese Night-heron, Japanese Night Heron, Japanese Night-Heron",EN,106003746,Gorsachius goisagi,AVES,decreasing,Brunei Darussalam: 4.53528 114.72767
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Bulgaria: 42.73388 25.48583
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Burma: 21.91397 95.95622
"Japanese White Stork, Oriental Stork, Oriental White Stork",EN,106003836,Ciconia boyciana,AVES,decreasing,Burma: 21.91397 95.95622
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Burundi: -3.37306 29.91889
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Cameroon: 7.36972 12.35472
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Canada: 56.13037 -106.34677
"Spoon-billed Sandpiper, Spoonbill Sandpiper",CR,106003060,Eurynorhynchus pygmeus,AVES,decreasing,Canada: 56.13037 -106.34677
