Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
Albanian Water Frog,EN,58715,Pelophylax shqipericus,AMPHIBIA,decreasing,Albania,41.15333,20.16833,,,,,,,,,,,,,,,,,,
Siau Island Tarsier,CR,57339,Telmatobius gigas,AMPHIBIA,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
Central American Red Brocket,DD,54817,Melanophryniscus cambaraensis,AMPHIBIA,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Goliath Frog,EN,5263,Conraua goliath,AMPHIBIA,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
Chinhai Spiny Newt,CR,59447,Echinotriton chinhaiensis,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
Manipur White-toothed Rat,DD,57538,Brachytarsophrys chuannanensis,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Nelson's Antelope Squirrel, San Joaquin Antelope Ground Squirrel, San Joaquin Antelope Squirrel",EN,58209,Amolops hainanensis,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
Ankarana Sportive Lemur,EN,57625,Leptobrachium boringii,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
Ankarana Sportive Lemur,EN,57627,Leptobrachium leishanense,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Chapman's Prehensile-tailed Hutia, Chapman's Prehensile Tailed Hutia, Gundlach's Hutia",EN,58430,Nanorana maculosa,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Chapman's Prehensile-tailed Hutia, Chapman's Prehensile Tailed Hutia, Gundlach's Hutia",EN,58248,Nanorana unculuanus,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Chapman's Prehensile-tailed Hutia, Chapman's Prehensile Tailed Hutia, Gundlach's Hutia",EN,58445,Nanorana yunnanensis,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
Albanian Water Frog,EN,58735,Pelophylax tenggerensis,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Santa Marta Conure, Santa Marta Parakeet",EN,58420,Quasipaa boulengeri,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Santa Marta Conure, Santa Marta Parakeet",EN,58436,Quasipaa robertingeri,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
Semirechensk Salamander,EN,19304,Ranodon sibiricus,AMPHIBIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Lehmann's Poison Frog, Red-banded Poison Frog",CR,55190,Oophaga lehmanni,AMPHIBIA,decreasing,Colombia,4.57087,-74.29733,,,,,,,,,,,,,,,,,,
Golden Poison Frog,EN,55264,Phyllobates terribilis,AMPHIBIA,decreasing,Colombia,4.57087,-74.29733,,,,,,,,,,,,,,,,,,
