Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Afghanistan,33.93911,67.70995,,,,,,,,,,,,,,,,,,
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Afghanistan,33.93911,67.70995,,,,,,,,,,,,,,,,,,
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Afghanistan,33.93911,67.70995,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Afghanistan,33.93911,67.70995,,,,,,,,,,,,,,,,,,
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Afghanistan,33.93911,67.70995,,,,,,,,,,,,,,,,,,
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Albania,41.15333,20.16833,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Albania,41.15333,20.16833,,,,,,,,,,,,,,,,,,
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Algeria,28.03389,1.65963,,,,,,,,,,,,,,,,,,
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Algeria,28.03389,1.65963,,,,,,,,,,,,,,,,,,
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Algeria,28.03389,1.65963,,,,,,,,,,,,,,,,,,
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Algeria,28.03389,1.65963,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Algeria,28.03389,1.65963,,,,,,,,,,,,,,,,,,
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Algeria,28.03389,1.65963,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Andorra,42.50628,1.52180,,,,,,,,,,,,,,,,,,
Tristan Albatross,CR,160030013,Diomedea dabbenena,AVES,decreasing,Angola,-11.20269,17.87389,,,,,,,,,,,,,,,,,,
"African River-martin, African River Martin, African River-Martin",DD,106007076,Pseudochelidon eurystomina,AVES,decreasing,Angola,-11.20269,17.87389,,,,,,,,,,,,,,,,,,
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,106002785,Balearica regulorum,AVES,decreasing,Angola,-11.20269,17.87389,,,,,,,,,,,,,,,,,,
