Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
Dwarf Karoo Girdled Lizard,EN,40099,Cornu mazzullii,GASTROPODA,decreasing,Italy,41.87194,12.56738,,,,,,,,,,,,,,,,,,
"Malagasy Giant Jumping Rat, Malagasy Giant Rat",EN,184948,Iberus gualtieranus,GASTROPODA,decreasing,Spain,40.46367,-3.74922,,,,,,,,,,,,,,,,,,
Negros Forest Dragon,DD,156874,Helix delpretiana,GASTROPODA,unknown,Italy,41.87194,12.56738,,,,,,,,,,,,,,,,,,
Negros Forest Dragon,DD,156324,Helix ligata,GASTROPODA,unknown,Italy,41.87194,12.56738,,,,,,,,,,,,,,,,,,
"Lesser Florican, Likh",EN,21277,Tacheocampylaea tacheoides,GASTROPODA,unknown,Italy,41.87194,12.56738,,,,,,,,,,,,,,,,,,
White-headed Duck,EN,168120,Pachnodus fregatensis,GASTROPODA,unknown,Seychelles,-4.67957,55.49198,,,,,,,,,,,,,,,,,,
Lariang Tarsier,DD,156512,Theba andalusica,GASTROPODA,unknown,Spain,40.46367,-3.74922,,,,,,,,,,,,,,,,,,
"Udzungwa Forest-partridge, Udzungwa Forest Partridge, Uzungwa Francolin",EN,171973,Xerocrassa edmundi,GASTROPODA,unknown,Spain,40.46367,-3.74922,,,,,,,,,,,,,,,,,,
"Udzungwa Forest-partridge, Udzungwa Forest Partridge, Uzungwa Francolin",EN,155358,Xerocrassa moraguesi,GASTROPODA,unknown,Spain,40.46367,-3.74922,,,,,,,,,,,,,,,,,,
blank,CR,168141,Conturbatia crenata,GASTROPODA,unknown,,,,Seychelles,-4.67957,55.49198,,,,,,,,,,,,,,,
