Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
Markhor,EN,3787,Capra falconeri,MAMMALIA,decreasing,Afghanistan,33.93911,67.70995,,,,,,,,,,,,,,,,,,
"Kashmir Muskdeer, Kashmir Musk-deer",EN,136750,Moschus cupreus,MAMMALIA,decreasing,Afghanistan,33.93911,67.70995,,,,,,,,,,,,,,,,,,
"Ounce, Snow Leopard",EN,22732,Panthera uncia,MAMMALIA,decreasing,Afghanistan,33.93911,67.70995,,,,,,,,,,,,,,,,,,
"Rhim, Slender-horned Gazelle",EN,8972,Gazella leptoceros,MAMMALIA,decreasing,Algeria,28.03389,1.65963,,,,,,,,,,,,,,,,,,
"Barbary Ape, Barbary Macaque",EN,12561,Macaca sylvanus,MAMMALIA,decreasing,Algeria,28.03389,1.65963,,,,,,,,,,,,,,,,,,
"Lowland Gorilla, Western Gorilla",CR,9404,Gorilla gorilla,MAMMALIA,decreasing,Angola,-11.20269,17.87389,,,,,,,,,,,,,,,,,,
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Angola,-11.20269,17.87389,,,,,,,,,,,,,,,,,,
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Angola,-11.20269,17.87389,,,,,,,,,,,,,,,,,,
Short-tailed Chinchilla,CR,4651,Chinchilla chinchilla,MAMMALIA,decreasing,Argentina,-38.41610,-63.61667,,,,,,,,,,,,,,,,,,
Social Tuco-tuco,CR,5826,Ctenomys sociabilis,MAMMALIA,decreasing,Argentina,-38.41610,-63.61667,,,,,,,,,,,,,,,,,,
Azara's Agouti,DD,6278,Dasyprocta azarae,MAMMALIA,decreasing,Argentina,-38.41610,-63.61667,,,,,,,,,,,,,,,,,,
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Argentina,-38.41610,-63.61667,,,,,,,,,,,,,,,,,,
"Chacoan Peccary, Tagua",EN,4015,Catagonus wagneri,MAMMALIA,decreasing,Argentina,-38.41610,-63.61667,,,,,,,,,,,,,,,,,,
"Chilean Guemal, Chilean Huemul, Patagonian Huemul, South Andean Deer, South Andean Huemul",EN,10054,Hippocamelus bisulcus,MAMMALIA,decreasing,Argentina,-38.41610,-63.61667,,,,,,,,,,,,,,,,,,
"Andean Cat, Andean Mountain Cat, Mountain Cat",EN,15452,Leopardus jacobita,MAMMALIA,decreasing,Argentina,-38.41610,-63.61667,,,,,,,,,,,,,,,,,,
"Marine Otter, Sea Cat",EN,12303,Lontra felina,MAMMALIA,decreasing,Argentina,-38.41610,-63.61667,,,,,,,,,,,,,,,,,,
"Huillin, Southern River Otter",EN,12305,Lontra provocax,MAMMALIA,decreasing,Argentina,-38.41610,-63.61667,,,,,,,,,,,,,,,,,,
Tasmanian Devil,EN,40540,Sarcophilus harrisii,MAMMALIA,decreasing,Australia,-25.27440,133.77514,,,,,,,,,,,,,,,,,,
"Hog Deer, Indochinese Hog Deer, Thai Hog Deer",EN,41784,Axis porcinus,MAMMALIA,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
"Assam Rabbit, Hispid Hare",EN,3833,Caprolagus hispidus,MAMMALIA,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,5953,Cuon alpinus,MAMMALIA,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
"Asian Elephant, Indian Elephant",EN,7140,Elephas maximus,MAMMALIA,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
"Hoolock Gibbon, Western Hoolock, Western Hoolock Gibbon",EN,39876,Hoolock hoolock,MAMMALIA,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
Chinese Pangolin,EN,12764,Manis pentadactyla,MAMMALIA,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
Fishing Cat,EN,18150,Prionailurus viverrinus,MAMMALIA,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
"Phayre's Langur,  Phayre's Leaf Monkey",EN,22040,Trachypithecus phayrei,MAMMALIA,decreasing,Bangladesh,23.68499,90.35633,,,,,,,,,,,,,,,,,,
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Belize,17.18988,-88.49765,,,,,,,,,,,,,,,,,,
Central American Red Brocket,DD,136290,Mazama temama,MAMMALIA,decreasing,Belize,17.18988,-88.49765,,,,,,,,,,,,,,,,,,
