Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
"Lesser Antillean Green Iguana, West Indian Iguana",EN,10800,Iguana delicatissima,REPTILIA,decreasing,Anguilla,18.22055,-63.06862,,,,,,,,,,,,,,,,,,
Siamese Crocodile,CR,5671,Crocodylus siamensis,REPTILIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
Wood Turtle,EN,4965,Glyptemys insculpta,REPTILIA,decreasing,Canada,56.13037,-106.34677,,,,,,,,,,,,,,,,,,
Yunnan Box Turtle,CR,5957,Cuora yunnanensis,REPTILIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Pearl-banded Rat Snake, Sichuan Rat Snake",EN,192132,Euprepiophis perlacea,REPTILIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Mang Mountain Pit Viper, Mangshan Pit Viper, Mt. Mang Pit Viper",EN,192140,Protobothrops mangshanensis,REPTILIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Lesser Antillean Green Iguana, West Indian Iguana",EN,10800,Iguana delicatissima,REPTILIA,decreasing,Dominica,15.41500,-61.37098,,,,,,,,,,,,,,,,,,
"Lesser Antillean Green Iguana, West Indian Iguana",EN,10800,Iguana delicatissima,REPTILIA,decreasing,Guadeloupe,16.26500,-61.55100,,,,,,,,,,,,,,,,,,
"Guatemalan Black Iguana, Guatemalan Spiny-tailed Iguana, Motagua Spiny-tailed Iguana",EN,44192,Ctenosaura palearis,REPTILIA,decreasing,Guatemala,15.78347,-90.23076,,,,,,,,,,,,,,,,,,
"Baker's Spinytail Iguana, Swamper, Utila Spiny-tailed Iguana",CR,44181,Ctenosaura bakeri,REPTILIA,decreasing,Honduras,15.20000,-86.24191,,,,,,,,,,,,,,,,,,
"Black-chested Spiny-tailed Iguana, Cayos Cochinos Iguana",EN,44189,Ctenosaura melanosterna,REPTILIA,decreasing,Honduras,15.20000,-86.24191,,,,,,,,,,,,,,,,,,
"De Queiroz's Spiny-tailed Iguana,  Wishywilly",EN,44191,Ctenosaura oedirhina,REPTILIA,decreasing,Honduras,15.20000,-86.24191,,,,,,,,,,,,,,,,,,
Siamese Crocodile,CR,5671,Crocodylus siamensis,REPTILIA,decreasing,Indonesia,-0.78927,113.92133,,,,,,,,,,,,,,,,,,
Latifi's Viper,EN,22992,Montivipera latifii,REPTILIA,decreasing,Iran,32.42791,53.68805,,,,,,,,,,,,,,,,,,
Siamese Crocodile,CR,5671,Crocodylus siamensis,REPTILIA,decreasing,Laos,19.85627,102.49550,,,,,,,,,,,,,,,,,,
Radiated Tortoise,CR,9014,Astrochelys radiata,REPTILIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Bizarre-nosed Chameleon,CR,172796,Calumma hafahafa,REPTILIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Belalanda Chameleon,CR,172740,Furcifer belalandaensis,REPTILIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
blank,CR,178246,Phelsuma pronki,REPTILIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Spider Tortoise,CR,19035,Pyxis arachnoides,REPTILIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
"Flat-backed Spider Tortoise, Flat-shelled Spider Tortoise, Flat-tailed Tortoise, Madagascar Flat-shelled Tortoise",CR,19036,Pyxis planicauda,REPTILIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Antsingy Leaf Chameleon,EN,3083,Brookesia perarmata,REPTILIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
"Painted Tree-rat, Painted Tree Rat",EN,176303,Calumma gallus,REPTILIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Two-banded Chameleon,EN,172934,Furcifer balteatus,REPTILIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
